id,width,height,ionizationclass,FluxCompensation,pressure,karma,modulation,weight_in_kg,weight_in_g,error,error_type,Quality,reflectionScore,distortion,nicesness,multideminsionality
1,26.8547922357333,104.65011698743,A,II,96.3483788309591,1029.24541711902,96.5048718229698,75482.5036268366,75482503.6268366,yes,severe,95.5487516500203,718.524188790188,51.7323709122517,25.6695014458978,yes
2,17.1765091430196,101.048244362302,C,II,100.364676853569,820.1321060603,101.624357876408,29822.5272273484,29822527.2273484,no,None,99.4859303952491,740.994643080433,51.3486568770687,18.7647005042621,no
3,21.8156420566867,101.941466832817,C,I,97.8744314054224,979.227043042645,99.1476187927538,48526.3003234806,48526300.3234806,no,None,97.8738839160545,684.912991178352,49.8399503854572,20.3007406892638,yes
4,1e+10,100.753946794305,C,I,97.5349102515742,923.638792582494,99.4362493822907,1.00753946794305e+22,1.00753946794305e+25,no,None,97.2505692719469,708.810442604334,52.3489394350806,10000000001.7607,yes
5,22.021341615705,98.0081332069157,B,IV,104.877735776833,1096.83915331324,103.408932351332,47537.2371387491,47537237.1387491,no,None,94.0303792210997,711.222751295974,49.0956100743492,23.8608362176013,yes
6,19.4693774195426,98.8050341739039,A,IV,96.3756864925383,953.305771759502,101.642113357231,37462.429296269,37462429.296269,yes,severe,94.2471224105042,650.910479069708,53.0711603958712,21.1075601993313,no
7,27.5576099871947,100.33050284616,C,III,98.3854099661441,887.63165124242,104.800053960012,76204.8394669177,76204839.4669177,no,None,97.489346128216,729.477129120647,52.8186649958744,28.184890395822,no
8,19.5267048079345,94.1430456428449,A,IV,93.8889063937302,919.206256383809,100.934637920986,35906.7990456325,35906799.0456325,yes,minor,93.0928775679108,701.633333155125,51.1002584494004,21.0657077146251,yes
9,30.0921185693852,98.3041715468429,A,II,97.2657295403022,977.233315554991,102.77321574339,89028.7850901417,89028785.0901417,yes,minor,95.3505712284529,714.840127306566,52.4389174116741,30.0373627383409,no
10,19.6864295047379,101.597169024447,A,IV,98.0108147386818,1032.48007638333,94.9636347411441,39383.2561249906,39383256.1249906,yes,minor,97.9386906897289,719.21656225916,51.2238679756307,22.7329202750731,yes
11,26.5243482711174,99.4030880240696,A,I,102.862120609116,1171.14042300996,101.268557093797,69942.6302312668,69942630.2312668,no,None,96.6735307771623,705.449083345602,48.8522046279195,27.5137430479904,no
12,31.4332269635055,99.4327772461093,B,I,98.6914592447311,983.304376677935,98.5196598993068,98256.5488231113,98256548.8231113,no,None,98.0284571743902,656.58667001535,50.0565540665407,30.9695585387755,yes
13,13.0556964944383,101.739038613298,A,III,103.537838681084,849.017538699097,99.9956947660982,17350.8808419526,17350880.8419526,yes,minor,94.3229149871645,720.200601874316,51.5623782465594,15.5795232453135,yes
14,18.6060561659131,98.911289430602,B,II,105.316431522174,1318.36210645126,98.9416498819738,34253.0118368537,34253011.8368537,no,None,94.3159575829101,720.824285250115,45.5778423551298,18.7973474174633,no
15,19.3333933180317,101.257606470755,C,IV,99.0169870201619,1030.99457222059,104.043767418071,37858.7413436458,37858741.3436458,no,None,98.5316618576817,694.413021960143,47.3579416281092,20.5439810034012,yes
16,23.1797519903504,97.1553310841092,B,I,99.9654995966678,991.276107953447,95.649820338067,52212.1588434223,52212158.8434223,no,None,99.2924317557065,722.522500997388,48.5408758040397,20.6500731508525,yes
17,18.5787353929196,97.5449747333314,A,III,98.518475799624,1237.6485762029,107.31938709117,33679.5251039103,33679525.1039103,yes,severe,98.3864599659003,701.350550836889,53.051226031999,19.5809047982279,yes
18,6.71772289547612,96.6517889685111,A,II,103.129931612395,1041.11826418311,97.0841924131004,4371.74564234376,4371745.64234376,no,None,95.5209481547497,649.952239625159,47.9438145644667,8.69829121344631,no
19,7.7976653571224,100.16879696449,A,III,99.4484171842094,1022.04237302394,96.2104534551956,6099.34423247781,6099344.23247781,no,None,99.2888549115014,718.95333088543,48.6773376272688,7.72990585637291,yes
20,26.600566728651,99.5877486720592,C,I,96.8546228551072,980.117941445922,99.6209906168724,70478.0607963267,70478060.7963267,no,None,95.8087366507652,709.800016712268,47.5642654912715,29.6950534109696,yes
21,18.4668070296076,102.883743280564,A,III,99.5017639277057,959.926341324777,101.54163589153,35094.2161800431,35094216.1800431,no,None,98.7388659486065,732.768107177844,46.0076984396129,16.7328894725972,no
22,11.0934578301,99.9164357932293,B,III,101.290455229732,1114.79837897908,102.058016671163,12306.6230879844,12306623.0879844,no,None,97.8164365992826,663.708923854427,52.479538392064,12.13111595298,no
23,19.1404132212019,102.707508955528,B,II,95.2218410549407,1069.71340956626,101.414505940794,37638.4381490586,37638438.1490586,yes,critical,94.7736694844902,677.937288459969,50.996352375004,20.2040528661878,yes
24,26.073373495863,103.890450551846,B,II,101.641158628672,1060.69266046758,99.9846522680224,70637.1681265108,70637168.1265108,yes,minor,97.7691240227108,660.242604361927,50.8741097349652,27.7085111975139,no
25,29.4759673063248,99.0181235325837,C,III,103.087544785843,963.551369475667,101.173685362141,86039.3169622309,86039316.9622309,no,None,95.8371940729213,677.894883691081,50.3782666730177,33.1254105650778,yes
26,17.847654341969,100.776878149889,B,I,98.8026182354392,891.546384690977,102.895519197498,32110.6152616709,32110615.2616709,yes,severe,98.5396880788362,719.318399156552,50.2305283503181,18.0130857779879,yes
27,18.7136530861554,98.310213481628,B,III,99.326746187155,878.106414418308,101.268192947587,34439.8101025249,34439810.1025249,no,None,99.1682343107184,725.546481127646,51.413749364693,20.0137827591009,no
28,11.1841845740261,101.475980735742,C,III,96.2470175309607,1065.83571734627,103.60330610247,12704.3101717887,12704310.1717887,no,None,94.2852900058508,691.352476398068,48.0049265851272,11.7729486908593,no
29,22.3004867741564,97.8404793374323,A,III,98.1392348185159,999.708003682356,108.148395075718,48666.8427173914,48666842.7173914,yes,critical,97.5363501598324,680.806268876223,47.2265916204221,18.4353994206513,yes
30,16.8000256201994,97.9470522475127,B,IV,103.180047018053,803.622825976785,101.357084514238,27654.9270124502,27654927.0124502,no,None,96.1894119101853,666.851244298172,50.1782495540294,15.8047903741555,no
31,22.2772506162061,100.577586723158,C,II,99.9110163375248,1156.06221285508,102.219110439648,49922.927037816,49922927.037816,no,None,99.704536017598,755.016159036877,50.0090777615981,20.4047418775572,no
32,23.5241866861441,100.181622638574,C,III,99.6015364708618,1069.32532800375,104.286535915817,55449.2919784202,55449291.9784202,no,None,99.0378320536129,729.354368749206,48.8300740454139,22.2458796208858,yes
33,25.1755176098496,100.525246353422,C,I,95.1107597722217,959.219870387258,101.097184665599,63722.7464015014,63722746.4015014,no,None,93.7082865389149,666.840227128512,50.4039552496132,23.3920444210817,no
34,16.9553681229639,100.138669825583,C,III,102.342558543798,1175.9258718467,103.811504614006,28800.3972196882,28800397.2196882,no,None,95.308388312649,704.438051144661,50.2697367664922,16.6804784302896,no
35,22.5247756164899,98.9427123622864,B,I,100.095317282491,1024.01541709871,103.177772768567,50210.7255354432,50210725.5354432,yes,critical,99.825419954874,693.043686309615,46.8023186641989,22.689093064721,no
36,11.4149566046333,99.7395956709625,C,I,99.59171691787,848.652846049682,101.131700738692,13005.2615392229,13005261.5392229,no,None,98.3669426540976,700.634825672413,51.0999843963164,9.53997841607983,no
37,16.0777049581025,103.240317488712,A,III,97.2954902638288,1043.9082639567,99.256702436434,26697.2299899602,26697229.9899602,yes,minor,97.278366613211,710.967612302731,49.4811729388335,16.8561826612528,no
38,15.7454620291174,99.9642097533531,A,II,95.4697344708706,948.208536428537,101.821460250354,24794.957155524,24794957.155524,yes,severe,94.4966868514184,765.609931020664,47.8638965694601,17.9537681355547,yes
39,7.92896175026684,97.3630212021014,A,III,93.9982832393608,1101.29492988437,98.3741949729805,6131.10491035575,6131104.91035575,no,None,92.1524401095283,732.206818720284,49.6310254185123,6.23180409321616,yes
40,20.1806130344613,98.3108796788375,A,III,99.0374061079506,851.676772523812,99.9317196343859,40049.3015185882,40049301.5185882,yes,critical,98.2423113843774,711.900732320865,48.8626339860714,20.7791233158936,yes
41,21.0299930010013,97.7963702550178,B,IV,96.6843400954072,1076.609558878,98.0947754411471,43260.6685621123,43260668.5621123,no,None,96.5209748909984,672.042193352883,50.5183707686535,21.9632494578194,no
42,18.1947135072567,98.199819713985,C,IV,99.9142221913173,1093.76056183972,103.463108790097,32517.7257622464,32517725.7622464,no,None,99.3371036238262,747.34635455823,49.8557897594126,16.1766819218962,yes
43,23.7908161784976,97.477832160355,B,III,99.0804905643754,996.690832030157,99.4942632480508,55182.4577989859,55182457.7989859,no,None,99.0748964997157,718.977547313756,50.0903597339889,22.728669160719,yes
44,16.3664758646171,94.7483021950342,B,I,102.467951301131,1046.17963502838,111.364414705212,25390.6513627653,25390651.3627653,no,None,96.7161743198037,709.251940659902,48.976138118994,15.8234782794249,no
45,13.1585947779035,101.338131498381,C,IV,99.8929311926338,914.080577030454,102.56790181938,17558.9224144646,17558922.4144646,no,None,98.9062559380128,689.450126556885,50.5218611020083,12.9176738383365,yes
46,22.1640901294436,101.320083018462,C,II,101.452056101891,975.245544338236,102.896512641174,49782.9628358656,49782962.8358656,no,None,98.203666632472,655.460658778601,50.9065551689925,23.2060328361262,yes
47,15.9430341190666,99.4987991292178,B,III,93.6192376487995,988.368755576827,100.954263350141,25300.8508263056,25300850.8263056,no,None,92.5090416402443,727.266197667386,48.7107515297007,15.4535169379721,no
48,27.2205063086063,98.5524053660924,A,III,100.734480175614,1105.17979463894,97.0515505994804,73033.2163092292,73033216.3092292,yes,critical,98.5451508808423,695.623957247417,45.3739978167942,27.3375856017295,yes
49,17.8427689869333,98.3756367353412,A,II,101.420237636483,1026.01206879196,101.906396265698,31328.8016598691,31328801.6598691,yes,severe,98.0663698239584,733.942666565328,49.7019407453078,16.7988920136017,yes
50,23.278239417011,100.797468672037,A,III,101.464643971458,1058.17850024584,94.1488188083097,54629.721784919,54629721.784919,yes,minor,98.1158484660119,732.478922841487,51.167140988563,24.0597505463748,yes
51,21.6096263260197,100.453127147759,A,III,100.241853016659,928.703057424653,100.816027725986,46920.9615976036,46920961.5976036,yes,minor,98.4553582327971,697.982611815317,54.7938398804582,19.3818252998808,yes
52,16.0808052955981,100.843287159506,B,IV,94.6583065744575,936.069993017518,95.7981749524291,26086.283234373,26086283.234373,yes,severe,93.9160381370016,686.681617477836,51.8783737454282,19.6715542838126,no
53,27.8786375989599,100.009675887448,B,I,99.3851960184075,911.747384426708,99.8675098362021,77738.1453622566,77738145.3622566,yes,severe,98.5040143658323,742.862238469685,46.0720053618677,23.8951009867825,yes
54,23.2144965285866,101.237967830193,C,IV,92.938105339846,1087.77731656501,101.98474087936,54568.4249273191,54568424.9273191,no,None,91.6505490914142,718.296370915784,53.0027579100594,22.3157900093536,yes
